timestamp_s      , pid  , runtime_ns, runtime_ms, switches, nice, tickets
1764245021.330554,     1,      63895,      0.064,        1, 0   ,        100
1764245021.330554,    15,      15192,      0.015,        1, 0   ,        100
1764245021.330554,    16,     806879,      0.807,      108, 0   ,        100
1764245021.330554,    17,   22414536,     22.415,     1921, 0   ,        100
1764245021.330554,    18,    1735289,      1.735,      144, -120,        300
1764245021.330554,    23,    1362008,      1.362,      104, -120,        300
1764245021.330554,    24,     105843,      0.106,       14, 0   ,        100
1764245021.330554,    29,    1049878,      1.050,       83, -120,        300
1764245021.330554,    30,     260091,      0.260,       20, 0   ,        100
1764245021.330554,    35,    1063136,      1.063,       85, -120,        300
1764245021.330554,    36,     112828,      0.113,       16, 0   ,        100
1764245021.330554,    41,     723469,      0.723,       64, -120,        300
1764245021.330554,    42,     155696,      0.156,       19, 0   ,        100
1764245021.330554,    47,    1509629,      1.510,       90, -120,        300
1764245021.330554,    48,      73618,      0.074,        9, 0   ,        100
1764245021.330554,    53,    1052137,      1.052,       89, -120,        300
1764245021.330554,    54,     111138,      0.111,       13, 0   ,        100
1764245021.330554,    59,     859617,      0.860,       61, -120,        300
1764245021.330554,    60,      96697,      0.097,        9, 0   ,        100
1764245021.330554,    65,    2313794,      2.314,      133, -120,        300
1764245021.330554,    66,     222018,      0.222,        8, 0   ,        100
1764245021.330554,    71,    1940551,      1.941,      124, -120,        300
1764245021.330554,    72,     112638,      0.113,        6, 0   ,        100
1764245021.330554,    77,    1088061,      1.088,       71, -120,        300
1764245021.330554,    78,      34409,      0.034,        3, 0   ,        100
1764245021.330554,    83,    1193100,      1.193,       81, -120,        300
1764245021.330554,    84,      38638,      0.039,        3, 0   ,        100
1764245021.330554,    89,    1612950,      1.613,       95, -120,        300
1764245021.330554,    90,     242814,      0.243,       36, 0   ,        100
1764245021.330554,    95,     737358,      0.737,       45, -120,        300
1764245021.330554,   101,     704058,      0.704,       46, -120,        300
1764245021.330554,   102,      19212,      0.019,        2, 0   ,        100
1764245021.330554,   103,     395629,      0.396,       23, 0   ,        100
1764245021.330554,   107,     462383,      0.462,       33, -120,        300
1764245021.330554,   108,       9071,      0.009,        1, 0   ,        100
1764245021.330554,   113,    3691313,      3.691,      222, -120,        300
1764245021.330554,   114,     129064,      0.129,        6, 0   ,        100
1764245021.330554,   119,    2379860,      2.380,      143, -120,        300
1764245021.330554,   120,      17971,      0.018,        2, 0   ,        100
1764245021.330554,   125,    1770286,      1.770,      102, -120,        300
1764245021.330554,   126,      64324,      0.064,        4, 0   ,        100
