iteration, timestamp_s      , pid  , runtime_ns, runtime_ms, delta_ns , delta_ms, rolling_runtime_ms, switches, nice, tickets, ticket_share
        1, 1764308934.943256,     1,     207936,      0.208,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,    15,      33247,      0.033,         0,    0.000,              0.000,        1, 0   ,     100,     0.001519
        1, 1764308934.943256,    16,     481535,      0.482,         0,    0.000,              0.000,       52, 0   ,     100,     0.001519
        1, 1764308934.943256,    17,   10413508,     10.414,         0,    0.000,              0.000,      959, 0   ,     100,     0.001519
        1, 1764308934.943256,    18,     720214,      0.720,         0,    0.000,              0.000,       44, -120,     300,     0.004558
        1, 1764308934.943256,    23,     624773,      0.625,         0,    0.000,              0.000,       36, -120,     300,     0.004558
        1, 1764308934.943256,    24,     106631,      0.107,         0,    0.000,              0.000,        8, 0   ,     100,     0.001519
        1, 1764308934.943256,    29,     792737,      0.793,         0,    0.000,              0.000,       53, -120,     300,     0.004558
        1, 1764308934.943256,    30,      41594,      0.042,         0,    0.000,              0.000,        4, 0   ,     100,     0.001519
        1, 1764308934.943256,    31,     312585,      0.313,         0,    0.000,              0.000,       21, 0   ,     100,     0.001519
        1, 1764308934.943256,    35,     909492,      0.909,         0,    0.000,              0.000,       66, -120,     300,     0.004558
        1, 1764308934.943256,    36,      81962,      0.082,         0,    0.000,              0.000,        5, 0   ,     100,     0.001519
        1, 1764308934.943256,    41,     825773,      0.826,         0,    0.000,              0.000,       52, -120,     300,     0.004558
        1, 1764308934.943256,    42,      69824,      0.070,         0,    0.000,              0.000,        3, 0   ,     100,     0.001519
        1, 1764308934.943256,    47,     684405,      0.684,         0,    0.000,              0.000,       47, -120,     300,     0.004558
        1, 1764308934.943256,    48,      61177,      0.061,         0,    0.000,              0.000,       10, 0   ,     100,     0.001519
        1, 1764308934.943256,    53,    1136643,      1.137,         0,    0.000,              0.000,       73, -120,     300,     0.004558
        1, 1764308934.943256,    54,      96759,      0.097,         0,    0.000,              0.000,        8, 0   ,     100,     0.001519
        1, 1764308934.943256,    59,    1265967,      1.266,         0,    0.000,              0.000,       79, -120,     300,     0.004558
        1, 1764308934.943256,    60,      33140,      0.033,         0,    0.000,              0.000,        6, 0   ,     100,     0.001519
        1, 1764308934.943256,    65,    2179850,      2.180,         0,    0.000,              0.000,      141, -120,     300,     0.004558
        1, 1764308934.943256,    66,     112348,      0.112,         0,    0.000,              0.000,        6, 0   ,     100,     0.001519
        1, 1764308934.943256,    71,    1233819,      1.234,         0,    0.000,              0.000,       77, -120,     300,     0.004558
        1, 1764308934.943256,    72,      41979,      0.042,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,    77,    1216086,      1.216,         0,    0.000,              0.000,       76, -120,     300,     0.004558
        1, 1764308934.943256,    78,      19851,      0.020,         0,    0.000,              0.000,        1, 0   ,     100,     0.001519
        1, 1764308934.943256,    80,     264268,      0.264,         0,    0.000,              0.000,       15, -20 ,     300,     0.004558
        1, 1764308934.943256,    83,     827029,      0.827,         0,    0.000,              0.000,       47, -120,     300,     0.004558
        1, 1764308934.943256,    89,     699573,      0.700,         0,    0.000,              0.000,       44, -120,     300,     0.004558
        1, 1764308934.943256,    90,      17445,      0.017,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,    95,     883539,      0.884,         0,    0.000,              0.000,       51, -120,     300,     0.004558
        1, 1764308934.943256,    96,      99733,      0.100,         0,    0.000,              0.000,        7, 0   ,     100,     0.001519
        1, 1764308934.943256,   101,     561933,      0.562,         0,    0.000,              0.000,       27, -120,     300,     0.004558
        1, 1764308934.943256,   102,      38056,      0.038,         0,    0.000,              0.000,        4, 0   ,     100,     0.001519
        1, 1764308934.943256,   107,     361938,      0.362,         0,    0.000,              0.000,       23, -120,     300,     0.004558
        1, 1764308934.943256,   108,      42048,      0.042,         0,    0.000,              0.000,        3, 0   ,     100,     0.001519
        1, 1764308934.943256,   113,    1929089,      1.929,         0,    0.000,              0.000,      115, -120,     300,     0.004558
        1, 1764308934.943256,   114,    9917375,      9.917,         0,    0.000,              0.000,      891, 0   ,     100,     0.001519
        1, 1764308934.943256,   119,    1139392,      1.139,         0,    0.000,              0.000,       66, -120,     300,     0.004558
        1, 1764308934.943256,   120,      52312,      0.052,         0,    0.000,              0.000,        1, 0   ,     100,     0.001519
        1, 1764308934.943256,   125,    1190806,      1.191,         0,    0.000,              0.000,       63, -120,     300,     0.004558
        1, 1764308934.943256,   126,      16778,      0.017,         0,    0.000,              0.000,        1, 0   ,     100,     0.001519
        1, 1764308934.943256,   131,    1019593,      1.020,         0,    0.000,              0.000,       58, -120,     300,     0.004558
        1, 1764308934.943256,   134,     197711,      0.198,         0,    0.000,              0.000,       14, -20 ,     300,     0.004558
        1, 1764308934.943256,   137,     200695,      0.201,         0,    0.000,              0.000,       15, -120,     300,     0.004558
        1, 1764308934.943256,   138,     413707,      0.414,         0,    0.000,              0.000,       46, 0   ,     100,     0.001519
        1, 1764308934.943256,   139,     435608,      0.436,         0,    0.000,              0.000,       23, 0   ,     100,     0.001519
        1, 1764308934.943256,   143,      42446,      0.042,         0,    0.000,              0.000,        4, -120,     300,     0.004558
        1, 1764308934.943256,   144,      22146,      0.022,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,   145,     152366,      0.152,         0,    0.000,              0.000,        9, 0   ,     100,     0.001519
        1, 1764308934.943256,   149,      92424,      0.092,         0,    0.000,              0.000,        7, -120,     300,     0.004558
        1, 1764308934.943256,   150,       3619,      0.004,         0,    0.000,              0.000,        1, 0   ,     100,     0.001519
        1, 1764308934.943256,   155,     628016,      0.628,         0,    0.000,              0.000,       46, -120,     300,     0.004558
        1, 1764308934.943256,   158,     153712,      0.154,         0,    0.000,              0.000,       11, -20 ,     300,     0.004558
        1, 1764308934.943256,   161,     169018,      0.169,         0,    0.000,              0.000,       15, -120,     300,     0.004558
        1, 1764308934.943256,   162,      46880,      0.047,         0,    0.000,              0.000,        5, 0   ,     100,     0.001519
        1, 1764308934.943256,   167,      92160,      0.092,         0,    0.000,              0.000,        8, -120,     300,     0.004558
        1, 1764308934.943256,   168,       3626,      0.004,         0,    0.000,              0.000,        1, 0   ,     100,     0.001519
        1, 1764308934.943256,   169,     476342,      0.476,         0,    0.000,              0.000,       24, 0   ,     100,     0.001519
        1, 1764308934.943256,   173,      57488,      0.057,         0,    0.000,              0.000,        7, -120,     300,     0.004558
        1, 1764308934.943256,   175,     196739,      0.197,         0,    0.000,              0.000,       11, 0   ,     100,     0.001519
        1, 1764308934.943256,   179,     100021,      0.100,         0,    0.000,              0.000,        8, -120,     300,     0.004558
        1, 1764308934.943256,   180,       8484,      0.008,         0,    0.000,              0.000,        2, 0   ,     100,     0.001519
        1, 1764308934.943256,   189,    6908965,      6.909,         0,    0.000,              0.000,      139, 0   ,     100,     0.001519
        1, 1764308934.943256,   192,     383914,      0.384,         0,    0.000,              0.000,       30, 0   ,     100,     0.001519
        1, 1764308934.943256,   196,     183976,      0.184,         0,    0.000,              0.000,       11, 19  ,      10,     0.000152
        1, 1764308934.943256,   210,      89208,      0.089,         0,    0.000,              0.000,        5, -20 ,     300,     0.004558
        1, 1764308934.943256,   217,   12083466,     12.083,         0,    0.000,              0.000,     1400, 0   ,     100,     0.001519
        1, 1764308934.943256,   219,     963557,      0.964,         0,    0.000,              0.000,      184, 0   ,     100,     0.001519
        1, 1764308934.943256,   223,      23918,      0.024,         0,    0.000,              0.000,        1, -20 ,     300,     0.004558
        1, 1764308934.943256,   226,     440394,      0.440,         0,    0.000,              0.000,       24, 0   ,     100,     0.001519
        1, 1764308934.943256,   227,     145966,      0.146,         0,    0.000,              0.000,       11, 0   ,     100,     0.001519
        1, 1764308934.943256,   236,     881239,      0.881,         0,    0.000,              0.000,       33, 0   ,     100,     0.001519
        1, 1764308934.943256,   239,    1268186,      1.268,         0,    0.000,              0.000,       54, 0   ,     100,     0.001519
        1, 1764308934.943256,   240,     379723,      0.380,         0,    0.000,              0.000,       18, 0   ,     100,     0.001519
        1, 1764308934.943256,   242,     799785,      0.800,         0,    0.000,              0.000,       36, 0   ,     100,     0.001519
        1, 1764308934.943256,   243,     576383,      0.576,         0,    0.000,              0.000,       29, 0   ,     100,     0.001519
